degree,train_mse,test_mse,train_r2,train_adj_r2,test_r2,test_adj_r2
1,111.9685932525297,121.56962399014792,0.6351830117489381,0.6349424069751534,0.4995928529036314,0.49828630682766173
2,111.27240831370426,120.64429186589311,0.6374513272226818,0.6371523919713813,0.5034017222018742,0.5017799120196464
3,111.17074284666509,120.53569751211963,0.6377825744806582,0.6374241208185907,0.5038487203004024,0.5019030290074628
4,111.10101552454536,120.6512801341695,0.6380097606130858,0.6375917580271886,0.5033729569620344,0.5010993210553858
5,110.40733142915073,122.43868549401594,0.6402699278182669,0.639795114985821,0.4960156057794882,0.4933769440296426
6,109.45022480456116,126.8864931477278,0.6433883804671306,0.6428587592500026,0.4777074571994795,0.4746291121535039
7,108.3972537389841,133.01206050374586,0.646819179423343,0.6462362766001434,0.45249328293157165,0.44890542764278774
8,108.0454102790705,135.69681498967054,0.6479655586682085,0.6473263412937202,0.441442246588278,0.4374133054161279
9,108.03950997260773,135.55851510646755,0.6479847830950869,0.6472873780095892,0.4420115191394792,0.43761790905396325
10,108.01598396817691,135.63193844887027,0.6480614357155459,0.6473059533285416,0.44170929261202774,0.43694384336971404
