model,split,mse,rmse,r2,adj_r2
poly_1,train,112.5261051359503,10.607832254327475,0.6759308011580984,0.6756449628349743
poly_1,tune,111.76781125070292,10.572029665617805,0.5066653348118848,0.5053713422474571
poly_1,test,119.88411839153807,10.949160624976605,0.5065307623939466,0.5052423309641658
poly_2,train,111.69795296619792,10.56872522900458,0.678315835367241,0.6779610888248582
poly_2,tune,111.34953584165271,10.552228951347328,0.508511570830746,0.5068990759843902
poly_2,test,118.66897906990943,10.893529229313584,0.5115325414675586,0.5099372852345982
poly_3,train,111.60201035390638,10.56418526692458,0.678592144988575,0.6781667209581165
poly_3,tune,111.24304562694759,10.547181880812884,0.5089816105839576,0.5070471980189568
poly_3,test,118.65478387298442,10.892877667218357,0.5115909720011287,0.5096756424795645
poly_4,train,111.51851541429997,10.560232734854852,0.67883260597452,0.6783365398319388
poly_4,tune,111.20067027948315,10.545172842560863,0.5091686521625626,0.5069112149517465
poly_4,test,118.72933661477511,10.896299216466804,0.5112840966189136,0.5090466791410407
poly_5,train,110.6214262074369,10.51767209069749,0.6814161751845856,0.6808536789147726
poly_5,tune,110.98453139765157,10.53491961989514,0.5101226728390825,0.5075460662530948
poly_5,test,120.89311037915579,10.995140307388342,0.5023775308103084,0.4997721775684776
poly_6,train,109.5909856642823,10.468571328709677,0.6843837891517703,0.6837567370772375
poly_6,tune,110.1701398954694,10.496196448974715,0.5137173353323825,0.5108380300810611
poly_6,test,125.68129453988927,11.210766902397411,0.48266831812212085,0.479619211942094
poly_7,train,108.70535607284131,10.426186075111135,0.6869343552788229,0.686243108547268
poly_7,tune,108.80710289505717,10.431064322256725,0.5197336775575067,0.5165719506158182
poly_7,test,130.96044122476562,11.443794878656538,0.46093819636163713,0.4574056812657107
poly_8,train,108.50662511720952,10.416651338948114,0.6875066898628638,0.6867475409203928
poly_8,tune,108.22896354474875,10.403315026699362,0.5222855409216075,0.5188238419427786
poly_8,test,132.48698811909196,11.510299219355332,0.45465459564604727,0.45072095666382206
poly_9,train,108.49462711370418,10.416075418011536,0.6875412434749257,0.6867129896471588
poly_9,tune,108.2275330092678,10.403246272643353,0.522291855197021,0.5185130168729368
poly_9,test,132.4653084544731,11.509357430129326,0.45474383388472706,0.45045047824602413
poly_10,train,108.45737976928632,10.414287290510394,0.6876485138460975,0.6867513487289961
poly_10,tune,108.24193947768337,10.403938652149165,0.5222282661350816,0.5181312789713322
poly_10,test,132.9091151994387,11.528621565453465,0.4529170283076326,0.4482472458834693
